GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plataforma_contenido,ar.edu.unahur.obj2.wtoj.usuario,Usuario,44,17,0,0,10,6,5,2,5,2
plataforma_contenido,ar.edu.unahur.obj2.wtoj.planes,PlanDefecto,3,3,0,0,1,1,1,1,1,1
plataforma_contenido,ar.edu.unahur.obj2.wtoj.planes,PlanBasico,44,0,2,0,9,0,4,0,3,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.planes,PlanPremium,0,9,0,0,0,4,0,2,0,2
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Documental,18,0,0,0,7,0,4,0,4,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Pelicula,8,0,0,0,3,0,2,0,2,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Serie,43,0,0,0,9,0,5,0,5,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Idra,21,0,0,0,8,0,5,0,5,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Episodio,25,0,0,0,10,0,5,0,5,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Contenido,28,0,0,0,9,0,5,0,5,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj.contenido,Temporada,51,0,0,0,13,0,7,0,7,0
plataforma_contenido,ar.edu.unahur.obj2.wtoj,Plataforma,3,0,0,0,1,0,1,0,1,0
